overwritting args.save_path
logging to logs/FB15k-237-betae/1p.2p.3p.2i.3i.ip.pi.2in.3in.inp.pin.pni.2u.up/beta/g-60.0-mode-(1600,2)/2024.04.19-14:12:25
0
    kind           operator                                                dtype    error    attention
4   call_function  torch.index_select                                      float32  0.0e+00
5   call_function  operator.add                                            float32  0.0e+00
6   call_function  torch.clamp                                             float32  0.0e+00
7   get_attr                                                               float32  0.0e+00
8   call_function  operator.getitem                                        int64    0.0e+00
9   call_function  torch.index_select                                      float32  0.0e+00
10  call_function  torch.cat                                               float32  0.0e+00
11  call_module    Linear(in_features=1200, out_features=1600, bias=True)  float32  1.3e-06
12  call_function  torch.nn.functional.relu                                float32  9.7e-07
13  call_module    Linear(in_features=1600, out_features=1600, bias=True)  float32  1.1e-06
14  call_function  torch.nn.functional.relu                                float32  9.8e-07
15  call_module    Linear(in_features=1600, out_features=800, bias=True)   float32  1.1e-06
16  call_function  operator.add                                            float32  1.1e-06
17  call_function  torch.clamp                                             float32  1.1e-06
18  call_function  torch.chunk                                             float32  1.1e-06
19  call_function  operator.getitem                                        float32  1.1e-06
20  call_function  operator.getitem                                        float32  1.1e-06
21  call_function  torch.cat                                               float32  1.1e-06
22  call_method    torch.Tensor.unsqueeze                                  float32  1.1e-06
23  call_function  torch.cat                                               float32  1.1e-06
24  call_method    torch.Tensor.unsqueeze                                  float32  1.1e-06
25  call_function  torch.broadcast_tensors                                 float32  1.1e-06
26  call_function  operator.getitem                                        float32  1.1e-06
27  call_function  operator.getitem                                        float32  1.1e-06
28  call_function  torch.stack                                             float32  1.1e-06
29  call_function  operator.getitem                                        int64    0.0e+00
30  call_method    torch.Tensor.view                                       int64    0.0e+00
31  call_function  torch.index_select                                      float32  0.0e+00
32  call_method    torch.Tensor.view                                       float32  0.0e+00
33  call_function  operator.add                                            float32  0.0e+00
34  call_function  torch.clamp                                             float32  0.0e+00
35  call_function  torch.chunk                                             float32  0.0e+00
36  call_function  operator.getitem                                        float32  0.0e+00
37  call_function  operator.getitem                                        float32  0.0e+00
38  call_function  torch.broadcast_tensors                                 float32  0.0e+00
39  call_function  operator.getitem                                        float32  0.0e+00
40  call_function  operator.getitem                                        float32  0.0e+00
41  call_function  torch.stack                                             float32  0.0e+00
42  get_attr                                                               float32  0.0e+00
43  call_function  operator.getitem                                        float32  0.0e+00
44  call_function  operator.getitem                                        float32  0.0e+00
45  call_function  operator.add                                            float32  0.0e+00
46  call_function  operator.getitem                                        float32  1.1e-06
47  call_function  operator.getitem                                        float32  1.1e-06
48  call_function  operator.add                                            float32  8.6e-07
49  call_function  operator.getitem                                        float32  1.1e-06
50  call_method    torch.Tensor.lgamma                                     float32  2.3e-06
51  call_function  operator.getitem                                        float32  1.1e-06
52  call_method    torch.Tensor.lgamma                                     float32  4.4e-06
53  call_function  operator.add                                            float32  4.5e-06
54  call_method    torch.Tensor.lgamma                                     float32  2.0e-06
55  call_function  operator.add                                            float32  5.1e-06
56  call_function  operator.getitem                                        float32  0.0e+00
57  call_method    torch.Tensor.lgamma                                     float32  1.3e-06
58  call_function  operator.getitem                                        float32  0.0e+00
59  call_method    torch.Tensor.lgamma                                     float32  1.3e-06
60  call_function  operator.add                                            float32  2.2e-06
61  call_method    torch.Tensor.lgamma                                     float32  1.8e-06
62  call_function  operator.add                                            float32  3.2e-06
63  call_function  operator.getitem                                        float32  0.0e+00
64  call_function  operator.getitem                                        float32  1.1e-06
65  call_function  operator.sub                                            float32  1.3e-06
66  call_function  operator.getitem                                        float32  0.0e+00
67  call_function  torch.digamma                                           float32  8.3e-07
68  call_function  operator.mul                                            float32  1.3e-06
69  call_function  operator.getitem                                        float32  0.0e+00
70  call_function  operator.getitem                                        float32  1.1e-06
71  call_function  operator.sub                                            float32  1.2e-06
72  call_function  operator.getitem                                        float32  0.0e+00
73  call_function  torch.digamma                                           float32  8.3e-07
74  call_function  operator.mul                                            float32  1.2e-06
75  call_function  operator.sub                                            float32  2.0e-06
76  call_function  torch.digamma                                           float32  6.1e-07
77  call_function  operator.mul                                            float32  1.2e-06
78  call_function  operator.sub                                            float32  5.0e-06
79  call_function  operator.add                                            float32  4.8e-06
80  call_function  operator.add                                            float32  5.6e-06
81  call_function  operator.add                                            float32  6.0e-06
82  call_function  torch.norm                                              float32  1.5e-06
83  call_function  operator.sub                                            float32  2.9e-06
84  call_function  torch.nn.functional.Tensor                              float32  0.0e+00
85  call_method    torch.Tensor.to                                         float32  0.0e+00
86  call_function  torch.cat                                               float32  2.9e-06
87  output                                                                 float32  2.9e-06
    kind           operator                                                dtype    error    attention
--  -------------  ------------------------------------------------------  -------  -------  -----------
0   placeholder                                                            int64    0.0e+00
1   placeholder                                                            int64    0.0e+00
2   get_attr                                                               float32  0.0e+00
3   call_function  operator.getitem                                        int64    0.0e+00
4   call_function  torch.index_select                                      float32  0.0e+00
5   call_function  operator.add                                            float32  0.0e+00
6   call_function  torch.clamp                                             float32  0.0e+00
7   get_attr                                                               float32  0.0e+00
8   call_function  operator.getitem                                        int64    0.0e+00
9   call_function  torch.index_select                                      float32  0.0e+00
10  call_function  torch.cat                                               float32  0.0e+00
11  call_module    Linear(in_features=1200, out_features=1600, bias=True)  float32  1.4e-06
12  call_function  torch.nn.functional.relu                                float32  1.3e-06
13  call_module    Linear(in_features=1600, out_features=1600, bias=True)  float32  1.4e-06
14  call_function  torch.nn.functional.relu                                float32  1.4e-06
15  call_module    Linear(in_features=1600, out_features=800, bias=True)   float32  1.4e-06
16  call_function  operator.add                                            float32  1.5e-06
17  call_function  torch.clamp                                             float32  1.5e-06
18  call_function  torch.chunk                                             float32  8.0e-07
19  call_function  operator.getitem                                        float32  8.0e-07
20  call_function  operator.getitem                                        float32  1.5e-06
21  call_function  torch.cat                                               float32  8.0e-07
22  call_method    torch.Tensor.unsqueeze                                  float32  8.0e-07
23  call_function  torch.cat                                               float32  1.5e-06
24  call_method    torch.Tensor.unsqueeze                                  float32  1.5e-06
25  call_function  torch.broadcast_tensors                                 float32  8.0e-07
26  call_function  operator.getitem                                        float32  8.0e-07
27  call_function  operator.getitem                                        float32  1.5e-06
28  call_function  torch.stack                                             float32  1.5e-06
29  call_function  operator.getitem                                        int64    0.0e+00
30  call_method    torch.Tensor.view                                       int64    0.0e+00
31  call_function  torch.index_select                                      float32  0.0e+00
32  call_method    torch.Tensor.view                                       float32  0.0e+00
33  call_function  operator.add                                            float32  0.0e+00
34  call_function  torch.clamp                                             float32  0.0e+00
35  call_function  torch.chunk                                             float32  0.0e+00
36  call_function  operator.getitem                                        float32  0.0e+00
37  call_function  operator.getitem                                        float32  0.0e+00
38  call_function  torch.broadcast_tensors                                 float32  0.0e+00
39  call_function  operator.getitem                                        float32  0.0e+00
40  call_function  operator.getitem                                        float32  0.0e+00
41  call_function  torch.stack                                             float32  0.0e+00
42  get_attr                                                               float32  0.0e+00
43  call_function  operator.getitem                                        float32  0.0e+00
44  call_function  operator.getitem                                        float32  0.0e+00
45  call_function  operator.add                                            float32  0.0e+00
46  call_function  operator.getitem                                        float32  8.0e-07
47  call_function  operator.getitem                                        float32  1.5e-06
48  call_function  operator.add                                            float32  9.4e-07
49  call_function  operator.getitem                                        float32  8.0e-07
50  call_method    torch.Tensor.lgamma                                     float32  2.4e-06
51  call_function  operator.getitem                                        float32  1.5e-06
52  call_method    torch.Tensor.lgamma                                     float32  4.0e-06
53  call_function  operator.add                                            float32  4.3e-06
54  call_method    torch.Tensor.lgamma                                     float32  2.0e-06
55  call_function  operator.add                                            float32  5.0e-06
56  call_function  operator.getitem                                        float32  0.0e+00
57  call_method    torch.Tensor.lgamma                                     float32  1.3e-06
58  call_function  operator.getitem                                        float32  0.0e+00
59  call_method    torch.Tensor.lgamma                                     float32  1.3e-06
60  call_function  operator.add                                            float32  2.2e-06
61  call_method    torch.Tensor.lgamma                                     float32  2.0e-06
62  call_function  operator.add                                            float32  3.5e-06
63  call_function  operator.getitem                                        float32  0.0e+00
64  call_function  operator.getitem                                        float32  8.0e-07
65  call_function  operator.sub                                            float32  9.8e-07
66  call_function  operator.getitem                                        float32  0.0e+00
67  call_function  torch.digamma                                           float32  8.3e-07
68  call_function  operator.mul                                            float32  9.9e-07
69  call_function  operator.getitem                                        float32  0.0e+00
70  call_function  operator.getitem                                        float32  1.5e-06
71  call_function  operator.sub                                            float32  1.5e-06
72  call_function  operator.getitem                                        float32  0.0e+00
73  call_function  torch.digamma                                           float32  8.3e-07
74  call_function  operator.mul                                            float32  1.4e-06
75  call_function  operator.sub                                            float32  1.6e-06
76  call_function  torch.digamma                                           float32  6.1e-07
77  call_function  operator.mul                                            float32  1.2e-06
78  call_function  operator.sub                                            float32  4.7e-06
79  call_function  operator.add                                            float32  5.3e-06
80  call_function  operator.add                                            float32  5.3e-06
81  call_function  operator.add                                            float32  6.0e-06
82  call_function  torch.norm                                              float32  1.5e-06
83  call_function  operator.sub                                            float32  3.0e-06
84  call_function  torch.nn.functional.Tensor                              float32  0.0e+00
85  call_method    torch.Tensor.to                                         float32  0.0e+00
86  call_function  torch.cat                                               float32  3.0e-06
87  output                                                                 float32  3.0e-06
    kind           operator                                                dtype    error    attention
--  -------------  ------------------------------------------------------  -------  -------  -----------
0   placeholder                                                            int64    0.0e+00
1   get_attr                                                               float32  0.0e+00
2   call_function  operator.getitem                                        int64    0.0e+00
3   call_function  torch.index_select                                      float32  0.0e+00
4   call_function  operator.add                                            float32  0.0e+00
5   call_function  torch.clamp                                             float32  0.0e+00
6   get_attr                                                               float32  0.0e+00
7   call_function  operator.getitem                                        int64    0.0e+00
8   call_function  torch.index_select                                      float32  0.0e+00
9   call_function  torch.cat                                               float32  0.0e+00
10  call_module    Linear(in_features=1200, out_features=1600, bias=True)  float32  1.7e-06
11  call_function  torch.nn.functional.relu                                float32  1.5e-06
12  call_module    Linear(in_features=1600, out_features=1600, bias=True)  float32  1.3e-06
13  call_function  torch.nn.functional.relu                                float32  1.3e-06
14  call_module    Linear(in_features=1600, out_features=800, bias=True)   float32  1.1e-06
15  call_function  operator.add                                            float32  1.5e-06
16  call_function  torch.clamp                                             float32  1.1e-06
17  call_function  torch.chunk                                             float32  9.3e-07
18  call_function  operator.getitem                                        float32  9.3e-07
19  call_function  operator.getitem                                        float32  1.1e-06
20  output                                                                 float32  9.3e-07
    kind           operator      dtype    error    attention
--  -------------  ------------  -------  -------  -----------
0   placeholder                  float32  0.0e+00
1   call_function  operator.add  float32  0.0e+00
2   call_function  torch.clamp   float32  0.0e+00
3   output                       float32  0.0e+00
    kind           operator                 dtype    error    attention
--  -------------  -----------------------  -------  -------  -----------
0   placeholder                             float32  0.0e+00
1   placeholder                             float32  0.0e+00
2   call_function  torch.chunk              float32  0.0e+00
3   call_function  operator.getitem         float32  0.0e+00
4   call_function  operator.getitem         float32  0.0e+00
5   call_function  torch.broadcast_tensors  float32  0.0e+00
6   call_function  operator.getitem         float32  0.0e+00
7   call_function  operator.getitem         float32  0.0e+00
8   call_function  torch.stack              float32  0.0e+00
9   get_attr                                float32  0.0e+00
10  call_function  operator.getitem         float32  0.0e+00
11  call_function  operator.getitem         float32  0.0e+00
12  call_function  operator.add             float32  0.0e+00
13  call_function  operator.getitem         float32  0.0e+00
14  call_function  operator.getitem         float32  0.0e+00
15  call_function  operator.add             float32  0.0e+00
16  call_function  operator.getitem         float32  0.0e+00
17  call_method    torch.Tensor.lgamma      float32  9.9e-07
18  call_function  operator.getitem         float32  0.0e+00
19  call_method    torch.Tensor.lgamma      float32  8.9e-07
20  call_function  operator.add             float32  1.4e-06
21  call_method    torch.Tensor.lgamma      float32  2.0e-06
22  call_function  operator.add             float32  3.1e-06
23  call_function  operator.getitem         float32  0.0e+00
24  call_method    torch.Tensor.lgamma      float32  1.3e-06
25  call_function  operator.getitem         float32  0.0e+00
26  call_method    torch.Tensor.lgamma      float32  1.3e-06
27  call_function  operator.add             float32  2.2e-06
28  call_method    torch.Tensor.lgamma      float32  1.6e-06
29  call_function  operator.add             float32  3.5e-06
30  call_function  operator.getitem         float32  0.0e+00
31  call_function  operator.getitem         float32  0.0e+00
32  call_function  operator.sub             float32  0.0e+00
33  call_function  operator.getitem         float32  0.0e+00
34  call_function  torch.digamma            float32  8.3e-07
35  call_function  operator.mul             float32  8.0e-07
36  call_function  operator.getitem         float32  0.0e+00
37  call_function  operator.getitem         float32  0.0e+00
38  call_function  operator.sub             float32  0.0e+00
39  call_function  operator.getitem         float32  0.0e+00
40  call_function  torch.digamma            float32  8.3e-07
41  call_function  operator.mul             float32  8.6e-07
42  call_function  operator.sub             float32  0.0e+00
43  call_function  torch.digamma            float32  6.1e-07
44  call_function  operator.mul             float32  8.4e-07
45  call_function  operator.sub             float32  3.7e-06
46  call_function  operator.add             float32  3.6e-06
47  call_function  operator.add             float32  4.2e-06
48  call_function  operator.add             float32  3.9e-06
49  call_function  torch.norm               float32  1.7e-06
50  call_function  operator.sub             float32  3.5e-06
51  output                                  float32  3.5e-06
    kind           operator                                                dtype    error    attention
--  -------------  ------------------------------------------------------  -------  -------  -----------
0   placeholder                                                            int64    0.0e+00
1   get_attr                                                               float32  0.0e+00
2   call_function  operator.getitem                                        int64    0.0e+00
3   call_function  torch.index_select                                      float32  0.0e+00
4   call_function  operator.add                                            float32  0.0e+00
5   call_function  torch.clamp                                             float32  0.0e+00
6   get_attr                                                               float32  0.0e+00
7   call_function  operator.getitem                                        int64    0.0e+00
8   call_function  torch.index_select                                      float32  0.0e+00
9   call_function  torch.cat                                               float32  0.0e+00
10  call_module    Linear(in_features=1200, out_features=1600, bias=True)  float32  1.2e-06
11  call_function  torch.nn.functional.relu                                float32  1.2e-06
12  call_module    Linear(in_features=1600, out_features=1600, bias=True)  float32  1.3e-06
13  call_function  torch.nn.functional.relu                                float32  1.2e-06
14  call_module    Linear(in_features=1600, out_features=800, bias=True)   float32  1.3e-06
15  call_function  operator.add                                            float32  1.2e-06
16  call_function  torch.clamp                                             float32  1.2e-06
17  call_function  torch.chunk                                             float32  9.2e-07
18  call_function  operator.getitem                                        float32  9.2e-07
19  call_function  operator.getitem                                        float32  1.2e-06
20  output                                                                 float32  9.2e-07
    kind           operator      dtype    error    attention
--  -------------  ------------  -------  -------  -----------
0   placeholder                  float32  0.0e+00
1   call_function  operator.add  float32  0.0e+00
2   call_function  torch.clamp   float32  0.0e+00
3   output                       float32  0.0e+00
    kind           operator                 dtype    error    attention
--  -------------  -----------------------  -------  -------  -----------
0   placeholder                             float32  0.0e+00
1   placeholder                             float32  0.0e+00
2   call_function  torch.chunk              float32  0.0e+00
3   call_function  operator.getitem         float32  0.0e+00
4   call_function  operator.getitem         float32  0.0e+00
5   call_function  torch.broadcast_tensors  float32  0.0e+00
6   call_function  operator.getitem         float32  0.0e+00
7   call_function  operator.getitem         float32  0.0e+00
8   call_function  torch.stack              float32  0.0e+00
9   get_attr                                float32  0.0e+00
10  call_function  operator.getitem         float32  0.0e+00
11  call_function  operator.getitem         float32  0.0e+00
12  call_function  operator.add             float32  0.0e+00
13  call_function  operator.getitem         float32  0.0e+00
14  call_function  operator.getitem         float32  0.0e+00
15  call_function  operator.add             float32  0.0e+00
16  call_function  operator.getitem         float32  0.0e+00
17  call_method    torch.Tensor.lgamma      float32  1.1e-06
18  call_function  operator.getitem         float32  0.0e+00
19  call_method    torch.Tensor.lgamma      float32  1.1e-06
20  call_function  operator.add             float32  1.6e-06
21  call_method    torch.Tensor.lgamma      float32  2.0e-06
22  call_function  operator.add             float32  3.3e-06
23  call_function  operator.getitem         float32  0.0e+00
24  call_method    torch.Tensor.lgamma      float32  1.3e-06
25  call_function  operator.getitem         float32  0.0e+00
26  call_method    torch.Tensor.lgamma      float32  1.3e-06
27  call_function  operator.add             float32  2.2e-06
28  call_method    torch.Tensor.lgamma      float32  1.2e-06
29  call_function  operator.add             float32  3.0e-06
30  call_function  operator.getitem         float32  0.0e+00
31  call_function  operator.getitem         float32  0.0e+00
32  call_function  operator.sub             float32  0.0e+00
33  call_function  operator.getitem         float32  0.0e+00
34  call_function  torch.digamma            float32  8.3e-07
35  call_function  operator.mul             float32  8.0e-07
36  call_function  operator.getitem         float32  0.0e+00
37  call_function  operator.getitem         float32  0.0e+00
38  call_function  operator.sub             float32  0.0e+00
39  call_function  operator.getitem         float32  0.0e+00
40  call_function  torch.digamma            float32  8.3e-07
41  call_function  operator.mul             float32  8.4e-07
42  call_function  operator.sub             float32  0.0e+00
43  call_function  torch.digamma            float32  6.1e-07
44  call_function  operator.mul             float32  8.2e-07
45  call_function  operator.sub             float32  3.7e-06
46  call_function  operator.add             float32  4.1e-06
47  call_function  operator.add             float32  4.5e-06
48  call_function  operator.add             float32  4.1e-06
49  call_function  torch.norm               float32  1.5e-06
50  call_function  operator.sub             float32  3.0e-06
51  output                                  float32  3.0e-06
    kind           operator                                                dtype    error    attention
--  -------------  ------------------------------------------------------  -------  -------  -----------
0   placeholder                                                            int64    0.0e+00
1   get_attr                                                               float32  0.0e+00
2   call_function  operator.getitem                                        int64    0.0e+00
3   call_function  torch.index_select                                      float32  0.0e+00
4   call_function  operator.add                                            float32  0.0e+00
5   call_function  torch.clamp                                             float32  0.0e+00
6   get_attr                                                               float32  0.0e+00
7   call_function  operator.getitem                                        int64    0.0e+00
8   call_function  torch.index_select                                      float32  0.0e+00
9   call_function  torch.cat                                               float32  0.0e+00
10  call_module    Linear(in_features=1200, out_features=1600, bias=True)  float32  1.3e-06
11  call_function  torch.nn.functional.relu                                float32  1.3e-06
12  call_module    Linear(in_features=1600, out_features=1600, bias=True)  float32  1.3e-06
13  call_function  torch.nn.functional.relu                                float32  1.2e-06
14  call_module    Linear(in_features=1600, out_features=800, bias=True)   float32  1.7e-06
15  call_function  operator.add                                            float32  9.3e-07
16  call_function  torch.clamp                                             float32  9.3e-07
17  call_function  torch.chunk                                             float32  9.3e-07
18  call_function  operator.getitem                                        float32  9.3e-07
19  call_function  operator.getitem                                        float32  8.7e-07
20  output                                                                 float32  9.3e-07
    kind           operator      dtype    error    attention
--  -------------  ------------  -------  -------  -----------
0   placeholder                  float32  0.0e+00
1   call_function  operator.add  float32  0.0e+00
2   call_function  torch.clamp   float32  0.0e+00
3   output                       float32  0.0e+00
    kind           operator                 dtype    error    attention
--  -------------  -----------------------  -------  -------  -----------
0   placeholder                             float32  0.0e+00
1   placeholder                             float32  0.0e+00
2   call_function  torch.chunk              float32  0.0e+00
3   call_function  operator.getitem         float32  0.0e+00
4   call_function  operator.getitem         float32  0.0e+00
5   call_function  torch.broadcast_tensors  float32  0.0e+00
6   call_function  operator.getitem         float32  0.0e+00
7   call_function  operator.getitem         float32  0.0e+00
8   call_function  torch.stack              float32  0.0e+00
9   get_attr                                float32  0.0e+00
10  call_function  operator.getitem         float32  0.0e+00
11  call_function  operator.getitem         float32  0.0e+00
12  call_function  operator.add             float32  0.0e+00
13  call_function  operator.getitem         float32  0.0e+00
14  call_function  operator.getitem         float32  0.0e+00
15  call_function  operator.add             float32  0.0e+00
16  call_function  operator.getitem         float32  0.0e+00
17  call_method    torch.Tensor.lgamma      float32  1.0e-06
18  call_function  operator.getitem         float32  0.0e+00
19  call_method    torch.Tensor.lgamma      float32  1.0e-06
20  call_function  operator.add             float32  1.4e-06
21  call_method    torch.Tensor.lgamma      float32  2.0e-06
22  call_function  operator.add             float32  3.1e-06
23  call_function  operator.getitem         float32  0.0e+00
24  call_method    torch.Tensor.lgamma      float32  1.3e-06
25  call_function  operator.getitem         float32  0.0e+00
26  call_method    torch.Tensor.lgamma      float32  1.3e-06
27  call_function  operator.add             float32  2.2e-06
28  call_method    torch.Tensor.lgamma      float32  1.3e-06
29  call_function  operator.add             float32  3.1e-06
30  call_function  operator.getitem         float32  0.0e+00
31  call_function  operator.getitem         float32  0.0e+00
32  call_function  operator.sub             float32  0.0e+00
33  call_function  operator.getitem         float32  0.0e+00
34  call_function  torch.digamma            float32  8.3e-07
35  call_function  operator.mul             float32  8.2e-07
36  call_function  operator.getitem         float32  0.0e+00
37  call_function  operator.getitem         float32  0.0e+00
38  call_function  operator.sub             float32  0.0e+00
39  call_function  operator.getitem         float32  0.0e+00
40  call_function  torch.digamma            float32  8.3e-07
41  call_function  operator.mul             float32  8.4e-07
42  call_function  operator.sub             float32  0.0e+00
43  call_function  torch.digamma            float32  6.1e-07
44  call_function  operator.mul             float32  8.5e-07
45  call_function  operator.sub             float32  3.9e-06
46  call_function  operator.add             float32  4.0e-06
47  call_function  operator.add             float32  4.3e-06
48  call_function  operator.add             float32  4.1e-06
49  call_function  torch.norm               float32  1.2e-06
50  call_function  operator.sub             float32  2.5e-06
51  output                                  float32  2.5e-06
    kind           operator                                                dtype    error    attention
--  -------------  ------------------------------------------------------  -------  -------  -----------
0   placeholder                                                            int64    0.0e+00
1   get_attr                                                               float32  0.0e+00
2   call_function  operator.getitem                                        int64    0.0e+00
3   call_function  torch.index_select                                      float32  0.0e+00
4   call_function  operator.add                                            float32  0.0e+00
5   call_function  torch.clamp                                             float32  0.0e+00
6   get_attr                                                               float32  0.0e+00
7   call_function  operator.getitem                                        int64    0.0e+00
8   call_function  torch.index_select                                      float32  0.0e+00
9   call_function  torch.cat                                               float32  0.0e+00
10  call_module    Linear(in_features=1200, out_features=1600, bias=True)  float32  1.5e-06
11  call_function  torch.nn.functional.relu                                float32  1.5e-06
12  call_module    Linear(in_features=1600, out_features=1600, bias=True)  float32  1.4e-06
13  call_function  torch.nn.functional.relu                                float32  1.4e-06
14  call_module    Linear(in_features=1600, out_features=800, bias=True)   float32  1.2e-06
15  call_function  operator.add                                            float32  1.3e-06
16  call_function  torch.clamp                                             float32  1.1e-06
17  call_function  torch.chunk                                             float32  1.1e-06
18  call_function  operator.getitem                                        float32  1.1e-06
19  call_function  operator.getitem                                        float32  9.2e-07
20  output                                                                 float32  1.1e-06
    kind           operator      dtype    error    attention
--  -------------  ------------  -------  -------  -----------
0   placeholder                  float32  0.0e+00
1   call_function  operator.add  float32  0.0e+00
2   call_function  torch.clamp   float32  0.0e+00
3   output                       float32  0.0e+00
    kind           operator                 dtype    error    attention
--  -------------  -----------------------  -------  -------  -----------
0   placeholder                             float32  0.0e+00
1   placeholder                             float32  0.0e+00
2   call_function  torch.chunk              float32  0.0e+00
3   call_function  operator.getitem         float32  0.0e+00
4   call_function  operator.getitem         float32  0.0e+00
5   call_function  torch.broadcast_tensors  float32  0.0e+00
6   call_function  operator.getitem         float32  0.0e+00
7   call_function  operator.getitem         float32  0.0e+00
8   call_function  torch.stack              float32  0.0e+00
9   get_attr                                float32  0.0e+00
10  call_function  operator.getitem         float32  0.0e+00
11  call_function  operator.getitem         float32  0.0e+00
12  call_function  operator.add             float32  0.0e+00
13  call_function  operator.getitem         float32  0.0e+00
14  call_function  operator.getitem         float32  0.0e+00
15  call_function  operator.add             float32  0.0e+00
16  call_function  operator.getitem         float32  0.0e+00
17  call_method    torch.Tensor.lgamma      float32  1.1e-06
18  call_function  operator.getitem         float32  0.0e+00
19  call_method    torch.Tensor.lgamma      float32  1.2e-06
20  call_function  operator.add             float32  1.7e-06
21  call_method    torch.Tensor.lgamma      float32  2.0e-06
22  call_function  operator.add             float32  3.5e-06
23  call_function  operator.getitem         float32  0.0e+00
24  call_method    torch.Tensor.lgamma      float32  1.3e-06
25  call_function  operator.getitem         float32  0.0e+00
26  call_method    torch.Tensor.lgamma      float32  1.3e-06
27  call_function  operator.add             float32  2.2e-06
28  call_method    torch.Tensor.lgamma      float32  1.4e-06
29  call_function  operator.add             float32  3.3e-06
30  call_function  operator.getitem         float32  0.0e+00
31  call_function  operator.getitem         float32  0.0e+00
32  call_function  operator.sub             float32  0.0e+00
33  call_function  operator.getitem         float32  0.0e+00
34  call_function  torch.digamma            float32  8.3e-07
35  call_function  operator.mul             float32  9.0e-07
36  call_function  operator.getitem         float32  0.0e+00
37  call_function  operator.getitem         float32  0.0e+00
38  call_function  operator.sub             float32  0.0e+00
39  call_function  operator.getitem         float32  0.0e+00
40  call_function  torch.digamma            float32  8.3e-07
41  call_function  operator.mul             float32  8.2e-07
42  call_function  operator.sub             float32  0.0e+00
43  call_function  torch.digamma            float32  6.1e-07
44  call_function  operator.mul             float32  8.5e-07
45  call_function  operator.sub             float32  3.8e-06
46  call_function  operator.add             float32  3.6e-06
47  call_function  operator.add             float32  3.8e-06
48  call_function  operator.add             float32  3.8e-06
49  call_function  torch.norm               float32  1.8e-06
50  call_function  operator.sub             float32  3.7e-06
51  output                                  float32  3.7e-06
    kind           operator                                                dtype    error    attention
--  -------------  ------------------------------------------------------  -------  -------  -----------
0   placeholder                                                            int64    0.0e+00
1   get_attr                                                               float32  0.0e+00
2   call_function  operator.getitem                                        int64    0.0e+00
3   call_function  torch.index_select                                      float32  0.0e+00
4   call_function  operator.add                                            float32  0.0e+00
5   call_function  torch.clamp                                             float32  0.0e+00
6   get_attr                                                               float32  0.0e+00
7   call_function  operator.getitem                                        int64    0.0e+00
8   call_function  torch.index_select                                      float32  0.0e+00
9   call_function  torch.cat                                               float32  0.0e+00
10  call_module    Linear(in_features=1200, out_features=1600, bias=True)  float32  1.5e-06
11  call_function  torch.nn.functional.relu                                float32  1.5e-06
12  call_module    Linear(in_features=1600, out_features=1600, bias=True)  float32  1.4e-06
13  call_function  torch.nn.functional.relu                                float32  1.4e-06
14  call_module    Linear(in_features=1600, out_features=800, bias=True)   float32  1.5e-06
15  call_function  operator.add                                            float32  1.2e-06
16  call_function  torch.clamp                                             float32  1.2e-06
17  call_function  torch.chunk                                             float32  1.1e-06
18  call_function  operator.getitem                                        float32  1.1e-06
19  call_function  operator.getitem                                        float32  1.2e-06
20  output                                                                 float32  1.1e-06
    kind           operator      dtype    error    attention
--  -------------  ------------  -------  -------  -----------
0   placeholder                  float32  0.0e+00
1   call_function  operator.add  float32  0.0e+00
2   call_function  torch.clamp   float32  0.0e+00
3   output                       float32  0.0e+00
    kind           operator                 dtype    error    attention
--  -------------  -----------------------  -------  -------  -----------
0   placeholder                             float32  0.0e+00
1   placeholder                             float32  0.0e+00
2   call_function  torch.chunk              float32  0.0e+00
3   call_function  operator.getitem         float32  0.0e+00
4   call_function  operator.getitem         float32  0.0e+00
5   call_function  torch.broadcast_tensors  float32  0.0e+00
6   call_function  operator.getitem         float32  0.0e+00
7   call_function  operator.getitem         float32  0.0e+00
8   call_function  torch.stack              float32  0.0e+00
9   get_attr                                float32  0.0e+00
10  call_function  operator.getitem         float32  0.0e+00
11  call_function  operator.getitem         float32  0.0e+00
12  call_function  operator.add             float32  0.0e+00
13  call_function  operator.getitem         float32  0.0e+00
14  call_function  operator.getitem         float32  0.0e+00
15  call_function  operator.add             float32  0.0e+00
16  call_function  operator.getitem         float32  0.0e+00
17  call_method    torch.Tensor.lgamma      float32  1.1e-06
18  call_function  operator.getitem         float32  0.0e+00
19  call_method    torch.Tensor.lgamma      float32  1.2e-06
20  call_function  operator.add             float32  1.5e-06
21  call_method    torch.Tensor.lgamma      float32  2.0e-06
22  call_function  operator.add             float32  3.3e-06
23  call_function  operator.getitem         float32  0.0e+00
24  call_method    torch.Tensor.lgamma      float32  1.3e-06
25  call_function  operator.getitem         float32  0.0e+00
26  call_method    torch.Tensor.lgamma      float32  1.3e-06
27  call_function  operator.add             float32  2.2e-06
28  call_method    torch.Tensor.lgamma      float32  1.5e-06
29  call_function  operator.add             float32  3.3e-06
30  call_function  operator.getitem         float32  0.0e+00
31  call_function  operator.getitem         float32  0.0e+00
32  call_function  operator.sub             float32  0.0e+00
33  call_function  operator.getitem         float32  0.0e+00
34  call_function  torch.digamma            float32  8.3e-07
35  call_function  operator.mul             float32  8.3e-07
36  call_function  operator.getitem         float32  0.0e+00
37  call_function  operator.getitem         float32  0.0e+00
38  call_function  operator.sub             float32  0.0e+00
